FID;CATEGORY;UNIQUENESS;NAME
MUSEUMOGD.54297;;;Synagoge
MUSEUMOGD.54298;;;Museum für Verhütung und Schwangerschaftsabbruch
MUSEUMOGD.54299;;;21er Haus (Österreichische Kunst von 1945 bis heute)
MUSEUMOGD.54300;;;Parlament
MUSEUMOGD.54301;;;Wüstenhaus
MUSEUMOGD.54302;;;UNO-City
MUSEUMOGD.54303;;;Museumsbibliothek
MUSEUMOGD.54304;;;Gedenkstätte Karajangasse
MUSEUMOGD.54305;;;Blumengarten und Palmenhaus Hirschstetten
MUSEUMOGD.54306;;;Bawag Contemporay
MUSEUMOGD.54307;;;das weisse haus
MUSEUMOGD.54308;;;Strabag Kunstforum
MUSEUMOGD.54309;;;Kunstkammer
MUSEUMOGD.54310;;;quartier21
MUSEUMOGD.54311;;;Österreichische Friedrich und Lillian Kiesler Privatstiftung
MUSEUMOGD.54312;;;Wien Museum Karlsplatz
MUSEUMOGD.54313;;;Mozartwohnung
MUSEUMOGD.54314;;;Palais Kabelwerk
MUSEUMOGD.54315;;;Palais Epstein
MUSEUMOGD.54316;;;Österreichische Mediathek
MUSEUMOGD.54317;;;Geistliche Schatzkammer
MUSEUMOGD.54318;;;Museum im Waschsalon
MUSEUMOGD.54319;;;Time Travel Vienna
MUSEUMOGD.54320;;;OstLicht .Galerie für Fotografie
MUSEUMOGD.54321;;;Wiener Schneekugelmuseum
MUSEUMOGD.54322;;;"Flakturmmuseum ""Erinnern im Innern"""
MUSEUMOGD.54323;;;Museum zur Erinnerung/Memorial museum
MUSEUMOGD.54324;;;Viktor Frankl Museum
